movieid,title,genres,string_agg,feature
3,天堂孤影,"['劇情,喜劇']",['Safka Pekkonen'],"天堂孤影 劇情,喜劇 卡德 羅娜 環衛 經理 服裝店 同事 "
11,星際大戰四部曲：曙光乍現,"['科幻,冒險,動作']",['Alan Harris'],"星際大戰四部曲曙光乍現 科幻,冒險,動作 銀河 盧克 帝國 機器人 奧爾德 絕地 "
12,海底總動員,"['家庭,動畫']",['Alexander Gould'],"海底總動員 家庭,動畫 馬林 尼莫 卵子 攻擊 潛水員 珊瑚 "
13,阿甘正傳,"['愛情,劇情,喜劇']",['Steven Griffith'],"阿甘正傳 愛情,劇情,喜劇 阿甘 美國 一個 小鎮 愛護 尼克森 "
14,美國心玫瑰情,['劇情'],['Peter Gallagher'],美國心玫瑰情 劇情 小珍 卡洛琳 於是 越來越 人生 罕住 
15,大國民,"['懸疑,劇情']",['Edmund Cobb'],"大國民 懸疑,劇情 凱恩 主義 玫瑰花 電影 意義 最後 "
16,在黑暗中漫舞,"['劇情,犯罪']",['David Morse'],"在黑暗中漫舞 劇情,犯罪 莎瑪 兒子 現實 歌舞 同事 幻想 "
18,第五元素,"['驚悚,冒險,奇幻,動作,科幻']",['Maïwenn'],"第五元素 驚悚,冒險,奇幻,動作,科幻 特效 本片 莉露 實驗室 邪惡 勢力 "
19,大都會,"['科幻,劇情']",['Heinrich George'],"大都會 科幻,劇情 兩個 階層 過著 設置 2026 電影 "
22,神鬼奇航：鬼盜船魔咒,"['冒險,動作,奇幻']",['Vanessa Branch'],"神鬼奇航鬼盜船魔咒 冒險,動作,奇幻 海盜 詛咒 寶藏 號的 加勒比海 珍珠 "
24,追殺比爾,"['犯罪,動作']",['Goro Daimon'],"追殺比爾 犯罪,動作 比爾 組織 追殺 新娘 昏迷 忍者 "
25,鍋蓋頭,"['劇情,戰爭']",['Lucas Black'],"鍋蓋頭 劇情,戰爭 Swoff 這場 戰爭 沙漠 同袍 Jake "
27,9歌,"['劇情,音樂,愛情']",['Peter Hayes'],"歌 劇情,音樂,愛情 演員 南極 曾經 導演 本片 大陸 "
28,現代啟示錄,"['戰爭,劇情']",['James Keane'],"現代啟示錄 戰爭,劇情 本片 越戰 美國 波拉 一部 上尉 "
33,殺無赦,['西部'],['Gene Hackman'],殺無赦 西部 最佳 克林伊斯威特 自編 自導 獲得 奧斯卡 
35,辛普森家庭電影版,"['家庭,動畫,喜劇']",['Marcia Wallace'],"辛普森家庭電影版 家庭,動畫,喜劇 辛普森 環保 嚴重 問題 春田 污染 "
38,王牌冤家,"['愛情,科幻,劇情']",['Paulie Litt'],"王牌冤家 愛情,科幻,劇情 忘了 刪除 要過 金凱瑞 .... 幸福 "
55,愛是一條狗,"['劇情,驚悚']",['Gael García Bernal'],"愛是一條狗 劇情,驚悚 電影 一個 車禍 這部 串連 奇片裡 "
58,神鬼奇航2：加勒比海盜,"['奇幻,冒險,動作']",['Jonathan Kite'],"神鬼奇航加勒比海盜 奇幻,冒險,動作 傑克 威爾 船長 瓊斯 這次 血債 "
59,暴力效應,"['驚悚,犯罪,劇情']",['Heidi Hayes'],"暴力效應 驚悚,犯罪,劇情 湯姆 之間 小鎮 餐廳 戴爾 成為 "
62,2001太空漫遊,"['懸疑,冒險,科幻']","[""Maggie d'Abo""]","太空漫遊 懸疑,冒險,科幻 太空船 人類 波曼 船長 太空 未來 "
63,未來總動員,"['科幻,驚悚,懸疑']",['Chuck Jeffreys'],"未來總動員 科幻,驚悚,懸疑 過去 凱薩琳 那個 詹姆斯 環境 人類 "
64,悄悄告訴她,"['愛情,劇情']",['Geraldine Chaplin'],"悄悄告訴她 愛情,劇情 阿麗 西亞 班尼諾 電影 蒂亞 昏迷 "
66,一觸即發,"['劇情,犯罪,動作']",['Clint Eastwood'],"一觸即發 劇情,犯罪,動作 維尼 發現 無端 決定 豪宅 盧瑟 "
67,天堂不遠,"['驚悚,劇情,犯罪']",['Kais Nashif'],"天堂不遠 驚悚,劇情,犯罪 時間 他們 來到 一起 分秒 薩伊 "
68,巴西,"['喜劇,科幻']",['Simon Jones'],"巴西 喜劇,科幻 導演 泰瑞 未來 入圍 奧斯卡 劇本 "
69,為你鍾情,"['愛情,劇情,音樂']",['Joaquin Phoenix'],"為你鍾情 愛情,劇情,音樂 凱許 強尼 鄉村 搖滾 音樂 事業 "
70,登峰造擊,['劇情'],['Jay Baruchel'],登峰造擊 劇情 瑪姬 蘭奇 他們 彼此 由於 女兒 
71,舞動人生,"['劇情,喜劇,音樂']",['Stuart Wells'],"舞動人生 劇情,喜劇,音樂 比利 礦工 芭蕾舞 芭蕾 舞蹈 爸爸 "
73,美國X檔案,['劇情'],['Ethan Suplee'],美國檔案 劇情 一個 納粹 射殺 人種 黑人 有色 
74,世界大戰,"['科幻,驚悚,冒險']",['Johnny Kastl'],"世界大戰 科幻,驚悚,冒險 我們 人類 外星 世界 本片 一步 "
75,星戰毀滅者,"['奇幻,科幻,喜劇']",['Tommy Bush'],"星戰毀滅者 奇幻,科幻,喜劇 火星人 總統 接觸 將軍 主張 凱斯 "
76,愛在黎明破曉時,"['愛情,劇情']",['Hanno Pöschl'],"愛在黎明破曉時 愛情,劇情 兩人 杰西 火車 法國 下車 維也納 "
77,記憶拼圖,"['驚悚,懸疑']",['Mark Boone Junior'],"記憶拼圖 驚悚,懸疑 兇手 藍納 出現 開始 殺妻 失憶 "
78,銀翼殺手,"['驚悚,劇情,科幻']",['Leo Gorcey Jr.'],"銀翼殺手 驚悚,劇情,科幻 複製人 科幻片 經典級 導演 雷利史考特 Ridley "
79,英雄,"['冒險,劇情,動作,歷史']",['Elizabeth Sung'],"英雄 冒險,劇情,動作,歷史 秦王 戰國 國家 他們 無名 七雄 "
80,愛在日落巴黎時,"['劇情,愛情']",['Ethan Hawke'],"愛在日落巴黎時 劇情,愛情 傑西 席琳 對方 飛機 時間 兩人 "
81,風之谷,"['冒險,動畫,奇幻']",['Mugihito'],"風之谷 冒險,動畫,奇幻 戰爭 腐海 風之谷 昆蟲 王國 巨神 "
82,邁阿密風雲,"['驚悚,動作,犯罪']",['Barry Shabaka Henley'],"邁阿密風雲 驚悚,動作,犯罪 臥底 行動 集團 他們 飾演 瑞卡度 "
83,顫慄汪洋,"['劇情,恐怖,驚悚']","['Blanchard Ryan', 'Saul Stein']","顫慄汪洋 劇情,恐怖,驚悚 根據 實事 改編 兩名 潛水員 蘇珊 "
85,法櫃奇兵,"['冒險,動作']",['Anthony Chinn'],"法櫃奇兵 冒險,動作 瓊斯 約櫃 納粹 希特勒 印第安那 二戰 "
87,魔宮傳奇,"['動作,冒險']",['Patrick Loh'],"魔宮傳奇 動作,冒險 本片 特效 最佳 獲得 奧斯卡 英國 "
88,熱舞17,"['愛情,劇情,音樂']",['Paula Trueman'],"熱舞 愛情,劇情,音樂 熱舞 歌曲 少女 珍妮佛 葛蕾 派屈克 "
89,聖戰奇兵,"['動作,冒險']",['Kevork Malikyan'],"聖戰奇兵 動作,冒險 瓊斯 聖杯 父親 筆記 艾莎 傳說 "
90,比佛利山超級警探,"['動作,喜劇,犯罪']",['Gerald Berns'],"比佛利山超級警探 動作,喜劇,犯罪 成績 影片 警探 莫菲 說話 超快 "
93,桃色血案,"['犯罪,懸疑,驚悚,劇情']",['Howard McNear'],"桃色血案 犯罪,懸疑,驚悚,劇情 貝克 一樁 兇殺案 律師 真相 找出 "
95,世界末日,"['動作,冒險,科幻,驚悚']",['Liv Tyler'],"世界末日 動作,冒險,科幻,驚悚 隕石 總署 太空 撞上 為了 毀滅 "
96,比佛利山超級警探2：轟天雷,"['犯罪,動作,喜劇']",['Paul Reiser'],"比佛利山超級警探轟天雷 犯罪,動作,喜劇 警探 墨菲 執導 艾迪 搞笑 底特律 "
97,電子世界爭霸戰,"['科幻,動作,冒險']",['Cindy Morgan'],"電子世界爭霸戰 科幻,動作,冒險 電腦 程式 影史 電影 運用 動畫 "
98,神鬼戰士,"['冒險,劇情,動作']",['Ray Mangion'],"神鬼戰士 冒險,劇情,動作 麥柯 希穆 競技場 成為 帝國 德斯 "
99,我的母親,"['劇情,喜劇']",['Malena Gutiérrez'],"我的母親 劇情,喜劇 父親 兒子 艾斯 提本 薇拉 告訴 "
100,兩根槍管,"['犯罪,喜劇']",['Jason Flemyng'],"兩根槍管 犯罪,喜劇 湯姆 搶劫 毒梟 隔壁 決定 英鎊 "
101,終極追殺令,"['動作,犯罪,劇情']",['Jessie Keosian'],"終極追殺令 動作,犯罪,劇情 里昂 蒂達 殺手 女孩 一個 12 "
103,計程車司機,"['劇情,犯罪']",['Robert De Niro'],"計程車司機 劇情,犯罪 崔維斯 電影 試圖 參議員 哈瑞斯 貝茜 "
104,蘿拉快跑,"['驚悚,劇情,動作']",['Ludger Pistor'],"蘿拉快跑 驚悚,劇情,動作 曼尼 20 一個 分鐘 蘿拉 出頭 "
105,回到未來,"['科幻,家庭,冒險,喜劇']",['David Harold Brown'],"回到未來 科幻,家庭,冒險,喜劇 一個 米高福克斯 飾演 80 科學家 幫助 "
106,終極戰士,"['動作,驚悚,冒險,科幻']",['Steve Boyum'],"終極戰士 動作,驚悚,冒險,科幻 組員 怪物 阿諾史瓦辛格 飾演 軍方 特種 "
107,偷拐搶騙,"['犯罪,喜劇']",['Sorcha Cusack'],"偷拐搶騙 犯罪,喜劇 鑽石 米基 法蘭 老闆 搶奪 艾維 "
108,藍色情挑,['劇情'],['Zbigniew Zamachowski'],藍色情挑 劇情 音樂家 女兒 丈夫 朱莉 講述 一對 
110,紅色情深,"['愛情,劇情,懸疑']",['Roland Carey'],"紅色情深 愛情,劇情,懸疑 波蘭 電影 大師 奇士勞斯基 20 週年 "
111,疤面煞星,"['劇情,動作,驚悚,犯罪']",['Mario Machado'],"疤面煞星 劇情,動作,驚悚,犯罪 美國 本片 經典 湯尼 艾爾帕西諾 改編 "
